Onderwerp;Wet;Onderdeel;Leerdoel;Artikel
A. Surveilleren in je werkgebied;A.01 Politiewet;A.01.01;De student kan beschrijven wie als ambtenaren van de politie worden gezien.;Politiewet, artikel 2
A. Surveilleren in je werkgebied;A.01 Politiewet;A.01.02;De student kan beschrijven wat de taak van de politie is.;Politiewet, artikel 3
A. Surveilleren in je werkgebied;A.01 Politiewet;A.01.03;De student kan beschrijven wanneer een politieagent bevoegd is geweld of vrijheidsbeperkende middelen te gebruiken.;Politiewet, artikel 7 lid 1 en 7
A. Surveilleren in je werkgebied;A.01 Politiewet;A.01.04a;De student kan beschrijven welke bevoegdheden de politie heeft tot het betreden van plaatsen ter hulpverlening en welke eisen hieraan worden gesteld, rekening houdend met de voorwaarden gesteld in de AWBi.;Politiewet, 7 lid 2 en lid 7
A. Surveilleren in je werkgebied;A.01 Politiewet;A.01.05;De student kan beschrijven onder welke voorwaarden een onderzoek kleding ten behoeve van veiligheid (veiligheidsfouillering) wordt uitgevoerd.;Politiewet, artikel 7 lid 3 en lid 7
A. Surveilleren in je werkgebied;A.01 Politiewet;A.01.06;De student kan beschrijven hoe en wanneer een onderzoek kleding ten behoeve van vervoer (vervoersfouillering) wordt uitgevoerd.;Politiewet, artikel 7 lid 4 en 7
A. Surveilleren in je werkgebied;A.01 Politiewet;A.01.07a;De student kan beschrijven onder welke voorwaarden hij een identiteitsbewijs mag vorderen van personen tijdens de uitvoering van de politietaak.;Politiewet, artikel 8
A. Surveilleren in je werkgebied;A.01 Politiewet;A.01.08;De student kan in een praktijksituatie bepalen onder wiens gezag hij handelt bij het uitvoeren van taken.;Politiewet, artikel 11 en 12
A. Surveilleren in je werkgebied;A.02 Ambtsinstructie voor de politie, de Koninklijke marechaussee en andere opsporingsambtenaren (Al);A.02.01;De student kan benoemen of personen onder bepaalde omstandigheden kunnen worden verwijderd van openbare plaatsen en/of overgedragen aan eigen zorgkader of anders ondergebracht.;Al, artikel 25
A. Surveilleren in je werkgebied;A.03 Grondwet;A.03.01;De student kan uitleggen waarom politieagenten zich neutraal moeten opstellen.;Grondwet, artikel 1
A. Surveilleren in je werkgebied;A.03 Grondwet;A.03.02;De student kan beschrijven welke rechten burgers hebben op basis van de Grondwet;Grondwet, artikel 6 lid 1, 7 lid 1
A. Surveilleren in je werkgebied;A.03 Grondwet;A.03.03;De student kan uitleggen hoe de politie bij het uitvoeren van haar taken inbreuk mag maken op rechten uit de Grondwet, behoudens bij of krachtens de wet te stellen beperkingen;Grondwet, artikel 10 en 11
A. Surveilleren in je werkgebied;A.03 Grondwet;A.03.05;De student kan de strekking van het legaliteitsbeginsel beschrijven.;Grondwet, artikel 16
A. Surveilleren in je werkgebied;A.03 Grondwet;A.03.06;De student kan beschrijven wat er in de grondwet staat over het recht op bijstand.;Grondwet, artikel 18
A. Surveilleren in je werkgebied;A.04 Europees Verdrag tot bescherming van de rechten van de mens en de fundamentele vrijheden (EVRM);A.04.01;De student kan beschrijven welke rechten burgers hebben vanuit het EVRM;EVRM, artikel 5 lid 1, 9 en 10 lid 1
A. Surveilleren in je werkgebied;A.04 Europees Verdrag tot bescherming van de rechten van de mens en de fundamentele vrijheden (EVRM);A.04.02;De student kan uitleggen waarom de reden tot aanhouding in de eigen taal moet worden meegedeeld.;EVRM, artikel 5 lid 2
A. Surveilleren in je werkgebied;A.04 Europees Verdrag tot bescherming van de rechten van de mens en de fundamentele vrijheden (EVRM);A.04.03;De student kan uitleggen hoe het EVRM invloed heeft op het handelen van een politieagent.;EVRM, artikel 6 lid 1 en 7 lid 1
A. Surveilleren in je werkgebied;A.05 Burgerlijk wetboek (BW);A.05.01;De student kan in een praktijksituatie bepalen of er sprake is van zaakwaarneming en onder bewaarneming.;artikel 6:198 en 7:600 BW
A. Surveilleren in je werkgebied;A.06 Algemene wet bestuursrecht (Awb);A.06.01;De student kan beschrijven wanneer hij zijn bevoegdheden als toezichthouder gebruikt en wat de regels zijn rond het legitimeren.;artikel 5:11, 5:12 en 5:13 Awb
A. Surveilleren in je werkgebied;A.06 Algemene wet bestuursrecht (Awb);A.06.02;De student kan in een praktijksituatie bepalen welke bevoegdheden hij als toezichthouder heeft voor het vorderen van inlichtingen, ID-bewijzen en medewerking.;artikel 5:16, 5:16a, en 5:20 lid 1 Awb
A. Surveilleren in je werkgebied;A.06 Algemene wet bestuursrecht (Awb);A.06.03;De student kan in een praktijksituatie bepalen welke bevoegdheden hij als toezichthouder heeft bij het onderzoeken van zaken en vervoersmiddelen.;artikel 5:18 lid 1 en 2 en 5:19 Awb
A. Surveilleren in je werkgebied;A.07 Wetboek van Strafrecht (SR);A.07.01;De student kan beschrijven wanneer een gepleegd feit strafbaar is.;Sr, artikel 1
A. Surveilleren in je werkgebied;A.07 Wetboek van Strafrecht (SR);A.07.02;De student kan beschrijven wat wordt verstaan onder baldadigheid.;Sr, artikel 424
A. Surveilleren in je werkgebied;A.07 Wetboek van Strafrecht (SR);A.07.03;De student kan beschrijven wat wordt verstaan onder handelen in dronkenschap en openbare dronkenschap;Sr, artikel 426 en 430b
A. Surveilleren in je werkgebied;A.07 Wetboek van Strafrecht (SR);A.07.04;De student kan beschrijven wat wordt verstaan onder rumoer of burengerucht.;Sr, artikel 431
A. Surveilleren in je werkgebied;A.07 Wetboek van Strafrecht (SR);A.07.05;De student kan beschrijven wat wordt verstaan onder het opgeven van valse identiteitsgegevens.;Sr, artikel 435 lid 4
A. Surveilleren in je werkgebied;A.07 Wetboek van Strafrecht (SR);A.07.06;De student kan beschrijven wanneer er sprake is van het niet voldoen aan de identificatieverplichting.;Sr, artikel 447e
A. Surveilleren in je werkgebied;A.07 Wetboek van Strafrecht (SR);A.07.07;De student kan beschrijven wanneer iemand zich onbevoegd bevindt op grond van een andere rechthebbende of daar vee laat lopen.;Sr, artikel 461
A. Surveilleren in je werkgebied;A.08 Wetboek van Strafvordering (SV);A.08.01;De student kan benoemen dat bevoegdheden alleen teruggevonden kunnen worden in een wet in formele zin.;Sv, artikel 1
A. Surveilleren in je werkgebied;A.08 Wetboek van Strafvordering (SV);A.08.02;De student kan beschrijven wie zijn belast met de opsporing van strafbare feiten.;Sv, artikel 127, 141 en 142
A. Surveilleren in je werkgebied;A.08 Wetboek van Strafvordering (SV);A.08.03;De student kan benoemen dat hij moet mededelen of een persoon als getuige op verdachte gehoord wordt en dat als gedurende het verhoor deze persoon verdachte wordt, hij de rechten van een verdachte moet mededelen;Sv, artikel 27c lid 1 en 2, 27d en 27e
A. Surveilleren in je werkgebied;A.08 Wetboek van Strafvordering (SV);A.08.04;De student kan beschrijven hoe de identiteit van de aangehouden verdachte moet worden vastgesteld.;Sv, artikel 27a en 55c
A. Surveilleren in je werkgebied;A.08 Wetboek van Strafvordering (SV);A.08.05;De student kan benoemen onder welke voorwaarden iemand mag worden staande gehouden.;Sv, artikel 52 en 53
A. Surveilleren in je werkgebied;A.08 Wetboek van Strafvordering (SV);A.08.06;De student kan de regels rond het aanhouden van een verdachte op heterdaad beschrijven.;Sv, artikel 53
A. Surveilleren in je werkgebied;A.08 Wetboek van Strafvordering (SV);A.08.07;De student kan beschrijven welke rechten een verdachte heeft.;Sv, artikel 27, 28, 28a, 29 lid 2 en 29b
A. Surveilleren in je werkgebied;A.08 Wetboek van Strafvordering (SV);A.08.08;De student kan beschrijven wat wordt verstaan onder het begrip verdachte.;Sv, artikel 27
A. Surveilleren in je werkgebied;A.08 Wetboek van Strafvordering (SV);A.08.10;De student kan uitleggen wanneer er sprake is van heterdaad.;Sv, artikel 128
A. Surveilleren in je werkgebied;A.08 Wetboek van Strafvordering (SV);A.08.11;De student kan in een praktijksituatie bepalen of er op basis van de leeftijd van de verdachte tijdens het begaan van het strafbare feit strafrechtelijke vervolging kan plaatsvinden.;Sv, artikel 486 en artikel 487
A. Surveilleren in je werkgebied;A.08 Wetboek van Strafvordering (SV);A.08.12;De student kan in een praktijksituatie bepalen wat wettige bewijsmiddelen zijn.;Sv, artikel 339
A. Surveilleren in je werkgebied;A.08 Wetboek van Strafvordering (SV);A.08.13;De student kan in een praktijksituatie bepalen of en hoe een onderzoek naar de identiteit mag worden uitgevoerd.;Sv, artikel 55b
A. Surveilleren in je werkgebied;A.09 Wet op de Identificatieplicht;A.09.01a;De student kan beschrijven welke documenten in de wet zijn aangewezen voor het vaststellen van de identiteit van personen.;Wet op de identificatieplicht, artikel 1
A. Surveilleren in je werkgebied;A.09 Wet op de Identificatieplicht;A.09.02;De student kan beschrijven vanaf welke leeftijd personen verplicht zijn om een identiteitsbewijs te tonen als dit wordt gevorderd. (Wet op de identificatieplicht, artikel 2).;K
A. Surveilleren in je werkgebied;A.10 Wegenverkeerswet 1994 (WVW1994);A.10.01;De student kan de definities: motorrijtuig, weg, bestuurder, begeleider en begeleiden uit de Wegenverkeerswet 1994 beschrijven.;WVW1994, artikel 1, lid 1 onder b, c, o, z en za
A. Surveilleren in je werkgebied;A.10 Wegenverkeerswet 1994 (WVW1994);A.10.02;De student kan beschrijven in welke situaties weggebruikers verplicht zijn aanwijzingen op te volgen.;WVW1994, artikel 12
A. Surveilleren in je werkgebied;A.10 Wegenverkeerswet 1994 (WVW1994);A.10.03;De student kan beschrijven aan welke eisen een kentekenbewijs moet voldoen.;WVW1994, artikel 36 lid 1, 2 en 3
A. Surveilleren in je werkgebied;A.10 Wegenverkeerswet 1994 (WVW1994);A.10.04;De student kan benoemen wanneer een kentekenbewijs niet verplicht is.;WVW1994, artikel 37 lid 1 en 2
A. Surveilleren in je werkgebied;A.10 Wegenverkeerswet 1994 (WVW1994);A.10.05;De student kan beschrijven voor welk motorrijtuig welke rijbewijscategorie geldig is.;WVW1994, artikel 107 lid 1 en 2 en artikel 118
A. Surveilleren in je werkgebied;A.10 Wegenverkeerswet 1994 (WVW1994);A.10.06;De student kan beschrijven in welke situaties de herkenning van een kentekenplaat wordt bemoeilijkt, onherkenbaar wordt gemaakt of vervalst is.;WVW1994, artikel 41 lid 1
A. Surveilleren in je werkgebied;A.10 Wegenverkeerswet 1994 (WVW1994);A.10.07;De student kan benoemen aan welke onderzoeken een bestuurder moet meewerken.;WVW1994, artikel 160 lid 5
A. Surveilleren in je werkgebied;A.10 Wegenverkeerswet 1994 (WVW1994);A.10.08;De student kan in een praktijksituatie bepalen in welke situaties een opsporingsambtenaar zijn controlebevoegdheden mag inzetten.;WVW1994, artikel 160 lid 1 en 4
A. Surveilleren in je werkgebied;A.10 Wegenverkeerswet 1994 (WVW1994);A.10.09;De student kan in een praktijksituatie bepalen wanneer er sprake is van gevaarlijk of hinderlijk verkeersgedrag.;WVW1994, artikel 5
A. Surveilleren in je werkgebied;A.10 Wegenverkeerswet 1994 (WVW1994);A.10.10;De student kan in een praktijksituatie bepalen of een kentekenplaat behoorlijk zichtbaar is.;WVW1994, artikel 40 lid 1
A. Surveilleren in je werkgebied;A.10 Wegenverkeerswet 1994 (WVW1994);A.10.11;De student kan in een praktijksituatie bepalen of een bestuurder of begeleider een door de politieagent gegeven bevel moet opvolgen.;WVW1994, artikel 160 lid 6
A. Surveilleren in je werkgebied;A.11 Wet administratiefrechtelijke handhaving verkeersvoorschriften (Wahv);A.11.01;De student kan beschrijven voor welke gedragingen in het verkeer administratieve sancties kunnen worden opgelegd en welke bepaling geldt voor personen jonger dan 16 jaar.;Wahv, artikel 2
A. Surveilleren in je werkgebied;A.11 Wet administratiefrechtelijke handhaving verkeersvoorschriften (Wahv);A.11.02;De student kan beschrijven welke bevoegdheid een politieagent heeft tot het opleggen van administratieve sancties en hoe het toezicht op de handhaving van verkeersvoorschriften is geregeld.;Wahv, artikel 3
A. Surveilleren in je werkgebied;A.11 Wet administratiefrechtelijke handhaving verkeersvoorschriften (Wahv);A.11.03;De student kan beschrijven hoe het proces rond de aankondiging van beschikking verloopt en welke informatie een beschikking bevat.;Wahv, artikel 4
A. Surveilleren in je werkgebied;A.11 Wet administratiefrechtelijke handhaving verkeersvoorschriften (Wahv);A.11.04;De student kan beschrijven aan wie een administratieve sanctie wordt opgelegd wanneer niet is vastgesteld wie de bestuurder was en bij welke uitzonderingen de Ov de beschikking kan vernietigen en aan en ander kan opleggen.;Wahv, artikel 5 en 8
